1.3647 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.1231 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
17.3085 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.3088 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7ffa9dcb3a30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7ffa749b4610>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.3089 	EXP 	window1: mouseVisible = True
17.3094 	EXP 	window1: mouseVisible = False
17.3094 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.3094 	EXP 	window1: recordFrameIntervals = False
17.4751 	EXP 	window1: recordFrameIntervals = True
17.5133 	WARNING 	t of last frame was 21.51ms (=1/46)
17.5967 	WARNING 	t of last frame was 21.49ms (=1/46)
17.6802 	WARNING 	t of last frame was 21.62ms (=1/46)
17.7635 	WARNING 	t of last frame was 21.69ms (=1/46)
17.8471 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
19.1419 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.0663 	EXP 	Created Introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Introduction', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.0789 	EXP 	Created listen_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='listen_instr', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
21.0822 	EXP 	Created cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.0924 	EXP 	Sound beat1 set volume 1.000
21.0946 	EXP 	Sound cue set volume 1.000
21.0964 	EXP 	Created cross_listen = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross_listen', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
21.1001 	EXP 	Created Instruction_next_trial = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instruction_next_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='You will now listen to the next music piece.', units='height', win=Window(...), wrapWidth=1)
21.1050 	EXP 	Created Ending = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Ending', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='This is the end of the experiment. Thank you. ', units='height', win=Window(...), wrapWidth=1)
21.1377 	EXP 	Introduction: autoDraw = True
25.1084 	EXP 	listen_instr: autoDraw = True
25.1418 	EXP 	Introduction: autoDraw = False
43.7276 	DATA 	Keypress: space
43.7341 	EXP 	Introduction: autoDraw = False
43.7341 	EXP 	listen_instr: autoDraw = False
43.7341 	EXP 	cross: autoDraw = True
48.7250 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
48.7253 	EXP 	New trial (rep=0, index=0): None
48.7312 	EXP 	Imported stimuli_list.xlsx as conditions, 6 conditions, 1 params
48.7317 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
48.7320 	EXP 	New trial (rep=0, index=0): {'stimuli_name': 'audio/exp0/snare_iso.wav'}
48.7484 	EXP 	cross: autoDraw = False
48.7484 	EXP 	cross_listen: autoDraw = True
60.7408 	EXP 	cross_listen: autoDraw = False
60.7408 	EXP 	Instruction_next_trial: autoDraw = True
